Time sum_kwh count_users
20641 1352.211 977
20643 1420.557 977
20645 1354.209 977
20647 1163.038 977
20701 940.325 977
20703 778.206 977
20705 658.469 977
20707 603.08 977
20709 569.893 977
20711 565.32 977
20713 585.746 977
20715 681.74 977
20717 854.821 977
20719 1076.895 977
20721 1370.256 977
20723 1426.565 977
20725 1489.339 977
20727 1468.918 977
20729 1357.189 977
20731 1267.895 977
20733 1238.341 977
20735 1343.488 977
20737 1415.345 977
20739 1380.413 977
20741 1389.089 977
20743 1409.69 977
20745 1319.47 977
20747 1147.673 977
20801 918.728 977
20803 745.5 977
20805 647.545 977
20807 580.62 977
20809 568.495 977
20811 591.943 977
20813 668.308 977
20815 851.601 977
20817 1164.342 977
20819 1377.376 977
20821 1522.814 977
20823 1556.421 977
20825 1612.798 977
20827 1546.137 977
20829 1498.288 977
20831 1538.489 977
20833 1606.271 977
20835 1719.946 977
20837 1621.088 977
20839 1453.571 977
20841 1383.882 977
20843 1457.458 977
20845 1444.196 977
20847 1130.185 977
20901 876.426 978
20903 715.812 978
20905 629.599 978
20907 575.763 978
20909 560.488 978
20911 575.604 978
20913 663.587 978
20915 890.439 978
20917 1198.117 978
20919 1411.317 978
20921 1505.925 978
20923 1535.253 978
20925 1610.352 978
20927 1554.051 978
20929 1544.484 978
20931 1573.979 978
20933 1618.244 978
20935 1762.298 978
20937 1644.673 978
20939 1451.26 978
20941 1360.018 978
20943 1480.765 978
20945 1489.994 978
20947 1129.913 978
21001 823.535 980
21003 651.032 980
21005 565.222 980
21007 539.459 980
21009 543.665 980
21011 578.655 980
21013 639.231 980
21015 879.869 980
21017 1234.341 980
21019 1432.272 980
21021 1508.633 980
21023 1601.672 980
21025 1623.604 980
21027 1528.173 980
21029 1476.392 980
21031 1464.728 980
21033 1596.033 980
21035 1729.995 980
21037 1659.766 980
21039 1546.424 980
21041 1439.293 980
21043 1499.039 980
21045 1454.143 980
21047 1164.657 980
21101 910.46 980
21103 721.203 980
21105 650.508 980
21107 569.257 980
21109 539.449 980
21111 562.174 980
21113 661.812 980
21115 898.201 980
21117 1176.038 980
21119 1362.697 980
21121 1515.125 980
21123 1563.104 980
21125 1542.879 980
21127 1501.285 980
21129 1472.698 980
21131 1468.785 980
21133 1525.711 980
21135 1642.216 980
21137 1599.797 980
21139 1494.093 980
21141 1456.477 980
21143 1524.91 980
21145 1485.763 980
21147 1223.364 980
21201 949.135 980
21203 767.798 980
21205 663.9780000000001 980
21207 603.996 980
21209 554.295 980
21211 581.044 980
21213 674.806 980
21215 875.978 980
21217 1226.799 980
21219 1451.35 980
21221 1581.39 980
21223 1636.604 980
21225 1683.896 980
21227 1622.391 980
21229 1584.892 980
21231 1562.748 980
21233 1664.261 980
21235 1775.366 980
21237 1700.353 980
21239 1584.926 980
21241 1516.779 980
21243 1526.828 980
21245 1481.014 980
21247 1227.2 980
21301 968.345 981
21303 797.601 981
21305 693.282 981
21307 611.452 981
21309 557.532 981
21311 557.469 981
21313 603.774 981
21315 731.43 981
21317 985.99 981
21319 1284.643 981
21321 1452.779 981
21323 1518.454 981
21325 1662.736 981
21327 1565.657 981
21329 1498.042 981
21331 1418.09 981
21333 1482.91 981
21335 1525.345 981
21337 1493.732 981
21339 1439.257 981
21341 1375.14 981
21343 1386.982 981
21345 1342.469 981
21347 1158.93 981
21401 924.574 981
21403 740.709 981
21405 642.878 981
21407 592.189 981
21409 561.578 981
21411 551.855 981
21413 578.668 981
21415 675.087 981
21417 820.911 981
21419 1111.536 981
21421 1387.75 981
21423 1433.415 981
21425 1443.407 981
21427 1471.8 981
21429 1340.5529999999999 981
21431 1236.214 981
21433 1278.848 981
21435 1352.143 981
21437 1384.786 981
21439 1337.581 981
21441 1358.221 981
21443 1374.211 981
21445 1292.81 981
21447 1120.982 981
21501 920.7570000000001 981
21503 737.225 981
21505 643.657 981
21507 574.122 981
21509 543.427 981
21511 534.056 981
21513 551.346 981
21515 674.597 981
21517 834.581 981
21519 1010.385 981
21521 1201.359 981
21523 1346.249 981
21525 1370.202 981
21527 1354.306 981
21529 1242.358 981
21531 1317.65 981
21533 1386.745 981
21535 1492.213 981
21537 1553.77 981
21539 1495.876 981
21541 1507.943 981
21543 1538.743 981
21545 1434.932 981
21547 1157.282 981
21601 903.787 981
21603 740.491 981
21605 642.574 981
21607 589.502 981
21609 558.331 981
21611 581.13 981
21613 633.467 981
21615 871.083 981
21617 1155.52 981
21619 1364.26 981
21621 1514.035 981
21623 1599.374 981
21625 1628.985 981
21627 1585.091 981
21629 1557.245 981
21631 1506.578 981
21633 1627.202 981
21635 1808.177 981
21637 1673.2450000000001 981
21639 1441.334 981
21641 1359.529 981
21643 1535.655 981
21645 1479.286 981
21647 1148.422 981
21701 852.3389999999999 981
21703 670.947 981
21705 579.25 981
21707 545.184 981
21709 537.246 981
21711 582.749 981
21713 664.871 981
21715 927.101 981
21717 1174.471 981
21719 1429.143 981
21721 1478.1490000000001 981
21723 1573.597 981
21725 1598.406 981
21727 1528.595 981
21729 1444.444 981
21731 1465.855 981
21733 1548.516 981
21735 1647.911 981
21737 1580.899 981
21739 1469.454 981
21741 1387.852 981
21743 1424.241 981
21745 1453.722 981
21747 1232.765 981
21801 939.138 983
21803 765.295 983
21805 659.279 983
21807 594.555 983
21809 545.976 983
21811 579.875 983
21813 622.997 983
21815 895.42 983
21817 1270.109 983
21819 1422.064 983
21821 1490.301 983
21823 1536.811 983
21825 1622.673 983
21827 1508.981 983
21829 1457.855 983
21831 1470.743 983
21833 1573.187 983
21835 1725.463 983
21837 1609.837 983
21839 1439.725 983
21841 1375.999 983
21843 1482.114 983
21845 1417.677 983
21847 1197.998 983
21901 902.354 984
21903 709.385 984
21905 639.935 984
21907 578.5649999999999 984
21909 527.814 984
21911 564.889 984
21913 635.07 984
21915 872.908 984
21917 1210.902 984
21919 1414.083 984
21921 1525.913 984
21923 1543.834 984
21925 1498.908 984
21927 1489.333 984
21929 1478.367 984
21931 1372.864 984
21933 1442.65 984
21935 1554.592 984
21937 1460.801 984
21939 1399.775 984
21941 1279.221 984
21943 1378.057 984
21945 1397.316 984
21947 1210.393 984
22001 982.342 984
22003 805.872 984
22005 702.415 984
22007 605.467 984
22009 544.462 984
22011 551.807 984
22013 607.547 984
22015 728.221 984
22017 956.4300000000001 984
22019 1261.701 984
22021 1390.578 984
22023 1508.028 984
22025 1534.276 984
22027 1534.995 984
22029 1493.377 984
22031 1378.344 984
22033 1433.4950000000001 984
