Time sum_kwh count_users mean_kwh Date Hour
19501 5877.7119999999995 6287 0.9348993160489899 195 0
19503 4657.405 6287 0.7407992683314776 195 1
19505 4098.2119999999995 6287 0.6518549387625258 195 2
19507 3910.384 6287 0.6219793224113249 195 3
19509 3844.359 6287 0.6114774932400191 195 4
19511 3944.5190000000002 6287 0.6274087800222682 195 5
19513 4713.017 6287 0.7496448226499125 195 6
19515 6268.03 6287 0.9969826626371878 195 7
19517 8334.667 6287 1.3256985843804676 195 8
19519 9982.587 6287 1.5878140607602989 195 9
19521 10830.172 6287 1.7226295530459679 195 10
19523 11144.343 6287 1.7726010815969462 195 11
19525 11453.625 6287 1.8217949737553683 195 12
19527 11021.178 6287 1.7530106569110864 195 13
19529 10809.021 6287 1.7192653093685384 195 14
19531 10805.391 6287 1.7186879274693811 195 15
19533 11632.707 6287 1.850279465563862 195 16
19535 12457.572 6287 1.981481151582631 195 17
19537 11405.808 6287 1.814189279465564 195 18
19539 10404.1 6287 1.6548592333386354 195 19
19541 9602.606 6287 1.527374900588516 195 20
19543 9563.287 6287 1.5211208843645618 195 21
19545 9686.957 6287 1.5407916335295053 195 22
19547 7915.295 6287 1.258993955781772 195 23
19601 5913.9580000000005 6288 0.9405149491094148 196 0
19603 4626.376 6288 0.7357468193384225 196 1
19605 4102.706 6288 0.6524659669211196 196 2
19607 3876.759 6288 0.6165329198473283 196 3
19609 3850.166 6288 0.6123037531806617 196 4
19611 3884.294 6288 0.6177312340966921 196 5
19613 4651.632 6288 0.7397633587786259 196 6
19615 6425.358 6288 1.021844465648855 196 7
19617 8586.099 6288 1.3654737595419848 196 8
19619 10157.813 6288 1.615428276081425 196 9
19621 10806.304 6288 1.718559796437659 196 10
19623 11045.625 6288 1.756619751908397 196 11
19625 11338.278 6288 1.8031612595419848 196 12
19627 10859.665 6288 1.7270459605597965 196 13
19629 10410.739000000001 6288 1.655651876590331 196 14
19631 10505.95 6288 1.6707935750636134 196 15
19633 11068.907 6288 1.7603223600508904 196 16
19635 11863.576000000001 6288 1.886701017811705 196 17
19637 10981.99 6288 1.7464996819338423 196 18
19639 9709.687 6288 1.5441614185750636 196 19
19641 8962.144 6288 1.4252773536895675 196 20
19643 8888.405999999999 6288 1.4135505725190838 196 21
19645 9518.475 6288 1.5137523854961832 196 22
19647 7972.657 6288 1.26791618956743 196 23
19701 6011.132 6289 0.9558168230243281 197 0
19703 4724.99 6289 0.7513102242009858 197 1
19705 4152.871999999999 6289 0.6603390046112259 197 2
19707 3919.9139999999998 6289 0.6232968675465097 197 3
19709 3848.615 6289 0.6119597710287804 197 4
19711 3871.325 6289 0.6155708379710606 197 5
19713 4620.904 6289 0.7347597392272222 197 6
19715 6369.553 6289 1.0128085546191763 197 7
19717 8522.761 6289 1.3551854030847512 197 8
19719 9999.485 6289 1.5899960248052156 197 9
19721 10379.228 6289 1.6503781205279058 197 10
19723 10608.577 6289 1.6868463984735251 197 11
19725 11085.499 6289 1.7626807123549053 197 12
19727 10717.502 6289 1.7041663221497854 197 13
19729 10462.893 6289 1.6636815073938622 197 14
19731 10457.953000000001 6289 1.6628960089044365 197 15
19733 11024.985 6289 1.7530585148672286 197 16
19735 11956.065 6289 1.9011074892669741 197 17
19737 11148.784 6289 1.772743520432501 197 18
19739 9947.825 6289 1.5817816823024329 197 19
19741 9435.572 6289 1.500329464143743 197 20
