Time sum_kwh count_users
19501 920.618 974
19503 709.76 974
19505 622.909 974
19507 587.741 974
19509 603.825 974
19511 622.214 974
19513 741.229 974
19515 980.781 974
19517 1296.891 974
19519 1575.757 974
19521 1749.731 974
19523 1728.694 974
19525 1784.277 974
19527 1764.462 974
19529 1707.976 974
19531 1706.825 974
19533 1796.893 974
19535 1922.454 974
19537 1841.865 974
19539 1702.496 974
19541 1533.833 974
19543 1512.214 974
19545 1538.083 974
19547 1236.589 974
19601 940.793 975
19603 716.142 975
19605 624.022 975
19607 595.561 975
19609 585.023 975
19611 594.945 975
19613 740.255 975
19615 993.047 975
19617 1344.146 975
19619 1678.958 975
19621 1727.805 975
19623 1705.0339999999999 975
19625 1816.602 975
19627 1665.141 975
19629 1597.768 975
19631 1597.737 975
19633 1683.592 975
19635 1801.776 975
19637 1715.595 975
19639 1530.326 975
19641 1397.448 975
19643 1375.624 975
19645 1538.463 975
19647 1236.884 975
19701 964.068 975
19703 748.436 975
19705 636.283 975
19707 599.798 975
19709 587.462 975
19711 601.472 975
19713 724.647 975
19715 995.113 975
19717 1325.296 975
19719 1618.825 975
19721 1655.218 975
19723 1643.86 975
19725 1747.951 975
19727 1642.563 975
19729 1628.396 975
19731 1680.873 975
19733 1739.39 975
19735 1841.603 975
19737 1742.44 975
19739 1526.366 975
19741 1513.742 975
19743 1539.571 975
19745 1490.539 975
19747 1243.76 975
19801 971.653 975
19803 742.79 975
19805 649.496 975
19807 620.006 975
19809 605.334 975
19811 624.643 975
19813 718.727 975
19815 964.446 975
19817 1247.597 975
19819 1596.009 975
19821 1733.767 975
19823 1748.073 975
19825 1771.349 975
19827 1665.007 975
19829 1607.482 975
19831 1557.809 975
19833 1514.44 975
19835 1692.618 975
19837 1662.326 975
19839 1504.234 975
19841 1362.378 975
19843 1437.717 975
19845 1500.261 975
19847 1284.902 975
19901 998.293 975
19903 780.671 975
19905 678.946 975
19907 638.398 975
19909 592.947 975
19911 585.008 975
19913 665.514 975
19915 815.384 975
19917 1039.325 975
19919 1338.204 975
19921 1557.347 975
19923 1589.875 975
19925 1690.365 975
19927 1614.012 975
19929 1500.858 975
19931 1447.465 975
19933 1495.113 975
19935 1687.445 975
19937 1721.907 975
19939 1613.056 975
19941 1483.791 975
19943 1474.325 975
19945 1394.015 975
19947 1181.011 975
20001 964.841 975
20003 788.348 975
20005 664.362 975
20007 619.622 975
20009 594.361 975
20011 590.28 975
20013 639.787 975
20015 735.85 975
20017 945.278 975
20019 1183.908 975
20021 1535.73 975
20023 1592.44 975
20025 1773.299 975
20027 1699.701 975
20029 1501.421 975
20031 1401.881 975
20033 1374.959 975
20035 1403.694 975
20037 1444.312 975
20039 1373.546 975
20041 1304.405 975
20043 1381.414 975
20045 1391.456 975
20047 1195.187 975
20101 910.982 975
20103 734.607 975
20105 642.462 975
20107 603.162 975
20109 595.479 975
20111 613.822 975
20113 706.858 975
20115 941.861 975
20117 1259.728 975
20119 1488.894 975
20121 1662.584 975
20123 1757.184 975
20125 1782.78 975
20127 1619.689 975
20129 1612.709 975
20131 1639.689 975
20133 1747.135 975
20135 1810.094 975
20137 1686.482 975
20139 1506.568 975
20141 1457.714 975
20143 1494.194 975
20145 1489.317 975
20147 1210.323 975
20201 914.707 975
20203 696.4 975
20205 631.994 975
20207 609.7620000000001 975
20209 598.985 975
