Time sum_kwh count_users
19501 967.777 973
19503 757.756 973
19505 656.998 973
19507 623.9110000000001 973
19509 600.395 973
19511 651.386 973
19513 797.601 973
19515 1069.115 973
19517 1419.237 973
19519 1722.363 973
19521 1834.3609999999999 973
19523 1831.333 973
19525 1920.21 973
19527 1786.006 973
19529 1773.063 973
19531 1806.079 973
19533 1889.36 973
19535 1963.673 973
19537 1815.722 973
19539 1619.0529999999999 973
19541 1500.028 973
19543 1496.4089999999999 973
19545 1535.38 973
19547 1255.266 973
19601 967.432 972
19603 764.981 972
19605 675.604 972
19607 625.7 972
19609 619.917 972
19611 658.476 972
19613 797.909 972
19615 1077.415 972
19617 1467.293 972
19619 1752.012 972
19621 1804.036 972
19623 1857.87 972
19625 1868.527 972
19627 1809.524 972
19629 1755.726 972
19631 1750.809 972
19633 1815.29 972
19635 1870.777 972
19637 1767.422 972
19639 1534.717 972
19641 1378.511 972
19643 1385.722 972
19645 1492.537 972
19647 1267.618 972
19701 978.242 973
19703 759.048 973
19705 682.852 973
19707 640.138 973
19709 623.186 973
19711 645.223 973
19713 789.467 973
19715 1108.999 973
19717 1534.852 973
19719 1804.77 973
19721 1749.675 973
19723 1797.051 973
19725 1877.808 973
19727 1798.486 973
19729 1758.96 973
19731 1765.5819999999999 973
19733 1772.922 973
19735 1900.675 973
19737 1819.931 973
19739 1578.3509999999999 973
19741 1517.39 973
19743 1518.784 973
19745 1520.509 973
19747 1241.618 973
19801 961.258 973
19803 749.241 973
19805 670.299 973
19807 645.524 973
19809 612.981 973
19811 648.249 973
19813 780.361 973
19815 1058.028 973
19817 1415.006 973
19819 1711.221 973
19821 1782.872 973
19823 1862.344 973
19825 1897.655 973
19827 1841.234 973
19829 1725.186 973
19831 1748.382 973
19833 1814.765 973
19835 1843.211 973
19837 1701.047 973
19839 1549.998 973
19841 1358.588 973
19843 1415.796 973
19845 1467.5 973
19847 1299.954 973
19901 1027.276 973
19903 828.04 973
19905 706.186 973
19907 655.295 973
19909 621.686 973
19911 627.381 973
19913 706.917 973
19915 844.214 973
19917 1235.965 973
19919 1549.78 973
19921 1596.185 973
19923 1796.152 973
19925 1816.028 973
19927 1784.816 973
19929 1602.724 973
19931 1642.076 973
19933 1652.366 973
19935 1769.956 973
19937 1658.142 973
19939 1510.146 973
19941 1446.199 973
19943 1450.264 973
19945 1424.291 973
19947 1247.037 973
20001 1030.766 973
20003 843.549 973
20005 730.649 973
20007 663.943 973
20009 643.629 973
20011 630.035 973
20013 690.182 973
20015 739.533 973
20017 964.295 973
20019 1211.166 973
20021 1396.216 973
20023 1579.482 973
20025 1662.528 973
20027 1606.66 973
20029 1584.787 973
20031 1467.268 973
20033 1409.031 973
20035 1473.411 973
20037 1508.509 973
20039 1488.751 973
20041 1420.956 973
20043 1411.709 973
20045 1453.181 973
20047 1229.073 973
20101 953.072 973
20103 743.326 973
20105 656.93 973
20107 612.001 973
20109 600.036 973
20111 621.488 973
20113 787.5409999999999 973
20115 1045.817 973
20117 1339.523 973
20119 1590.849 973
20121 1651.472 973
20123 1792.765 973
20125 1796.55 973
20127 1788.372 973
20129 1778.891 973
20131 1731.037 973
20133 1858.532 973
20135 1889.712 973
20137 1781.328 973
20139 1577.213 973
20141 1483.999 973
20143 1492.508 973
20145 1524.742 973
20147 1227.093 973
20201 945.532 973
20203 767.004 973
20205 690.44 973
20207 642.743 973
20209 617.317 973
20211 665.964 973
20213 788.7 973
20215 1066.052 973
20217 1421.667 973
20219 1706.556 973
20221 1840.485 973
20223 1952.417 973
20225 1915.314 973
20227 1812.364 973
20229 1766.384 973
20231 1726.567 973
20233 1857.9189999999999 973
20235 1888.355 973
20237 1809.375 973
20239 1595.999 973
20241 1474.55 973
20243 1522.294 973
20245 1545.213 973
20247 1279.716 973
20301 937.096 972
20303 745.429 972
20305 674.458 972
20307 657.205 972
20309 635.924 972
20311 668.708 972
20313 793.807 972
20315 1085.923 972
20317 1429.7259999999999 972
20319 1810.807 972
20321 1810.784 972
20323 1811.117 972
20325 1865.651 972
20327 1744.923 972
20329 1743.185 972
20331 1795.656 972
20333 1852.695 972
20335 1907.909 972
20337 1761.148 972
20339 1568.923 972
20341 1461.912 972
20343 1479.847 972
20345 1540.21 972
20347 1270.909 972
20401 954.759 972
20403 743.853 972
20405 674.143 972
20407 640.776 972
20409 643.053 972
20411 634.163 972
20413 770.728 972
20415 1057.94 972
20417 1414.36 972
20419 1693.998 972
20421 1770.247 972
20423 1861.685 972
20425 1900.837 972
20427 1847.36 972
20429 1769.677 972
20431 1824.787 972
20433 1820.493 972
20435 1959.718 972
20437 1846.568 972
20439 1645.643 972
20441 1485.913 972
20443 1529.954 972
20445 1479.911 972
20447 1231.681 972
20501 948.487 972
20503 749.2479999999999 972
20505 657.257 972
20507 626.581 972
20509 612.292 972
20511 639.935 972
20513 766.381 972
20515 1035.877 972
20517 1479.867 972
20519 1780.274 972
20521 1836.221 972
20523 1843.75 972
20525 1870.863 972
20527 1774.147 972
20529 1768.931 972
20531 1720.031 972
20533 1729.8120000000001 972
20535 1779.118 972
20537 1807.853 972
20539 1565.668 972
20541 1419.764 972
20543 1467.872 972
20545 1477.07 972
20547 1260.344 972
20601 1049.247 972
20603 835.554 972
20605 729.502 972
20607 672.14 972
20609 642.381 972
20611 654.09 972
20613 720.394 972
